source_file,broker,sheet_name,valuation_date,product_id,association_code,custodian_id,custodian_name,adapter_key,route_source,raw_row_index,subject_code,subject_name,parent_subject_code,subject_level,root_subject_code,root_subject_name,is_leaf,is_position_candidate,quantity,unit_cost,cost,cost_pct_nav,market_price,market_value,market_value_pct_nav,pnl,suspension_info,review_flag,asset_type_internal,asset_type_display,asset_class_l1,asset_class_l2,review_category,raw_text
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),4,1002,银行存款,,1,1002,银行存款,False,False,0.0,0.0,787394.66,1.7791,0.0,787394.66,1.7791,0.0,,,cash_deposit,现金及存款,现金类,银行存款,,1002 | 银行存款 | 0 | 0 | 787394.66 | 1.7791 | 0 | 787394.66 | 1.7791 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),5,100201,活期存款,1002,2,1002,银行存款,False,False,0.0,0.0,786526.32,1.7771,0.0,786526.32,1.7771,0.0,,,cash_deposit,现金及存款,现金类,银行存款,,100201 | 活期存款 | 0 | 0 | 786526.32 | 1.7771 | 0 | 786526.32 | 1.7771 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),6,10020101,银行结算账户,100201,3,1002,银行存款,True,False,0.0,0.0,786526.32,1.7771,0.0,786526.32,1.7771,0.0,,1,cash_deposit,现金及存款,现金类,银行存款,,10020101 | 银行结算账户 | 0 | 0 | 786526.32 | 1.7771 | 0 | 786526.32 | 1.7771 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),7,100206,应计利息,1002,2,1002,银行存款,False,False,0.0,0.0,868.34,0.002,0.0,868.34,0.002,0.0,,,cash_deposit,现金及存款,现金类,银行存款,,100206 | 应计利息 | 0 | 0 | 868.34 | 0.002 | 0 | 868.34 | 0.002 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),8,10020601,应计活期银行存款利息,100206,3,1002,银行存款,False,False,0.0,0.0,868.34,0.002,0.0,868.34,0.002,0.0,,,cash_deposit,现金及存款,现金类,银行存款,,10020601 | 应计活期银行存款利息 | 0 | 0 | 868.34 | 0.002 | 0 | 868.34 | 0.002 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),9,10020601000001,应计活期存款利息,10020601,4,1002,银行存款,True,False,0.0,0.0,868.34,0.002,0.0,868.34,0.002,0.0,,1,cash_deposit,现金及存款,现金类,银行存款,,10020601000001 | 应计活期存款利息 | 0 | 0 | 868.34 | 0.002 | 0 | 868.34 | 0.002 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),10,1021,清算备付金,,1,1021,清算备付金,False,False,0.0,0.0,290566.99,0.6565,0.0,290566.99,0.6565,0.0,,,clearing_balance,证券清算款,清算款类,证券清算款,,1021 | 清算备付金 | 0 | 0 | 290566.99 | 0.6565 | 0 | 290566.99 | 0.6565 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),11,102113,期货清算备付金,1021,2,1021,清算备付金,False,False,0.0,0.0,290566.99,0.6565,0.0,290566.99,0.6565,0.0,,,clearing_balance,证券清算款,清算款类,证券清算款,,102113 | 期货清算备付金 | 0 | 0 | 290566.99 | 0.6565 | 0 | 290566.99 | 0.6565 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),12,10211354,东证期货,102113,3,1021,清算备付金,True,False,0.0,0.0,290566.99,0.6565,0.0,290566.99,0.6565,0.0,,1,clearing_balance,证券清算款,清算款类,证券清算款,,10211354 | 东证期货 | 0 | 0 | 290566.99 | 0.6565 | 0 | 290566.99 | 0.6565 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),13,1031,存出保证金,,1,1031,存出保证金,False,False,0.0,0.0,14406844.54,32.5511,0.0,14406844.54,32.5511,0.0,,,margin_deposit,保证金,保证金类,存出保证金,,1031 | 存出保证金 | 0 | 0 | 14406844.54 | 32.5511 | 0 | 14406844.54 | 32.5511 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),14,103106,证券资金账户,1031,2,1031,存出保证金,False,False,0.0,0.0,5899041.59,13.3284,0.0,5899041.59,13.3284,0.0,,,margin_deposit,保证金,保证金类,存出保证金,,103106 | 证券资金账户 | 0 | 0 | 5899041.59 | 13.3284 | 0 | 5899041.59 | 13.3284 | 0
data_samples\raw\2025-03-27_PRODUCT_001估值表.xlsx,CUSTODIAN_GROUP_007,Sheet1,2025-03-27,PRODUCT_001,,CUSTODIAN_007,CUSTODIAN_GROUP_007,guosen,mapping(product_id),15,103106G5,国联证券,103106,4,1031,存出保证金,True,False,0.0,0.0,5899041.59,13.3284,0.0,5899041.59,13.3284,0.0,,1,margin_deposit,保证金,保证金类,存出保证金,,103106G5 | 国联证券 | 0 | 0 | 5899041.59 | 13.3284 | 0 | 5899041.59 | 13.3284 | 0
