证券投资基金估值表,,,,,,,,,,,
上海和谐汇一资产管理有限公司___PRODUCT_002___专用表,,,,,,,,,,,
估值日期：20250327,,,,,,,单位净值：0.7807,,,单位：元,
科目代码,科目名称,数量,单位成本,成本,成本占净值%,市价,市值,市值占净值%,估值增值,停牌信息,
1002,银行存款,,,"726,152.37",0.0562,,"726,152.37",0.0562,,,
100201,活期存款,,,"723,317.92",0.0559,,"723,317.92",0.0559,,,
10020101,活期存款,,,"723,317.92",0.0559,,"723,317.92",0.0559,,,
100206,应计利息,,,"2,834.45",0.0002,,"2,834.45",0.0002,,,
10020601,应计活期银行存款利息,,,"2,834.45",0.0002,,"2,834.45",0.0002,,,
10020601000001,应计活期存款利息,,,"2,834.45",0.0002,,"2,834.45",0.0002,,,
1021,清算备付金,,,"19,720.36",0.0015,,"19,720.36",0.0015,,,
102113,期货清算备付金,,,"19,720.36",0.0015,,"19,720.36",0.0015,,,
10211383,东证期货,,,"19,720.36",0.0015,,"19,720.36",0.0015,,,
1031,存出保证金,,,"285,954,335.79",22.1183,,"285,954,335.79",22.1183,,,
103106,证券资金账户,,,"65,036,731.02",5.0305,,"65,036,731.02",5.0305,,,
10310601,兴业证券,,,"1,903,557.32",0.1472,,"1,903,557.32",0.1472,,,
1031060A,兴业证券0A,,,"2,266,357.89",0.1753,,"2,266,357.89",0.1753,,,
1031061B,兴业证券1B,,,"3,164,114.60",0.2447,,"3,164,114.60",0.2447,,,
10310640,中信建投证券,,,"49,237,179.22",3.8085,,"49,237,179.22",3.8085,,,
10310692,长江证券,,,"5,783,246.89",0.4473,,"5,783,246.89",0.4473,,,
103106B5,国联证券,,,"2,682,275.10",0.2075,,"2,682,275.10",0.2075,,,
103132,收益互换协议履约保证金,,,"103,367,038.95",7.9953,,"103,367,038.95",7.9953,,,
10313202,ZXSAC-107352-RMB,,,"84,291,698.28",6.5199,,"84,291,698.28",6.5199,,,
10313205,HTSC-21078-HKD,,,"19,075,340.67",1.4755,,"19,075,340.67",1.4755,,,
103134,存出保证金_场外期权保证金,,,"117,548,880.33",9.0923,,"117,548,880.33",9.0923,,,
10313401,存出保证金_ZXOPTION-107352,,,"6,489,421.42",0.502,,"6,489,421.42",0.502,,,
10313402,GTJA-OP-020039,,,"42,854,060.45",3.3147,,"42,854,060.45",3.3147,,,
10313403,SWHYOP-2177001,,,"53,205,398.46",4.1154,,"53,205,398.46",4.1154,,,
10313404,CICC-OP-938001,,,"15,000,000.00",1.1602,,"15,000,000.00",1.1602,,,
103173,券商保证金_应计利息,,,390.66,,,390.66,,,,
10317301,证券资金账户利息,,,34.90,,,34.90,,,,
1031730A,兴业证券0A,,,39.01,,,39.01,,,,
1031731B,兴业证券1B,,,48.87,,,48.87,,,,
10317340,中信建投证券,,,198.66,,,198.66,,,,
10317392,长江证券,,,22.35,,,22.35,,,,
103173B5,国联证券,,,46.87,,,46.87,,,,
103183,场外期权预付金应计利息,,,"1,294.83",0.0001,,"1,294.83",0.0001,,,
10318301,ZXOPTION-107352,,,"1,294.83",0.0001,,"1,294.83",0.0001,,,
1102,以公允价值计量且其变动计入当期损益的股票投资,"30,157,136.00",,"991,687,466.06",76.7061,,"1,017,832,676.62",78.7284,"26,145,210.56",,
110201,上交所A股,"9,106,067.00",,"201,744,681.74",15.6048,,"196,045,958.68",15.164,"-5,698,723.06",,
11020101,上交所A股成本,"9,106,067.00",,"201,744,681.74",15.6048,,"196,045,958.68",15.164,"-5,698,723.06",,
11020101600309,万华化学,"866,100.00",84.60,"73,273,976.10",5.6677,68.53,"59,353,833.00",4.591,"-13,920,143.10",【正常交易】,
11020101600989,宝丰能源,"986,100.00",14.53,"14,323,932.11",1.1079,15.86,"15,639,546.00",1.2097,"1,315,613.89",【正常交易】,
11020101601012,隆基绿能,"3,883,667.00",17.23,"66,907,101.34",5.1752,17.04,"66,177,685.68",5.1188,"-729,415.66",【正常交易】,
11020101601058,赛轮轮胎,"3,159,400.00",12.26,"38,733,588.19",2.996,14.81,"46,790,714.00",3.6192,"8,057,125.81",【正常交易】,
11020101605376,博迁新材,"210,800.00",40.35,"8,506,084.00",0.6579,38.35,"8,084,180.00",0.6253,"-421,904.00",【正常交易】,
11020199,上交所A股估值增值,,,"-5,698,723.06",-0.4408,,"-5,698,723.06",-0.4408,,,
11020199600309,万华化学,,,"-13,920,143.10",-1.0767,,"-13,920,143.10",-1.0767,,,
11020199600989,宝丰能源,,,"1,315,613.89",0.1018,,"1,315,613.89",0.1018,,,
11020199601012,隆基绿能,,,"-729,415.66",-0.0564,,"-729,415.66",-0.0564,,,
11020199601058,赛轮轮胎,,,"8,057,125.81",0.6232,,"8,057,125.81",0.6232,,,
11020199605376,博迁新材,,,"-421,904.00",-0.0326,,"-421,904.00",-0.0326,,,
110231,深交所A股,"16,999,379.00",,"469,353,298.37",36.3041,,"458,808,634.32",35.4884,"-10,544,664.05",,
11023101,深交所A股成本,"16,999,379.00",,"469,353,298.37",36.3041,,"458,808,634.32",35.4884,"-10,544,664.05",,
11023101002153,石基信息,"5,874,346.00",11.48,"67,432,190.29",5.2158,8.08,"47,464,715.68",3.6714,"-19,967,474.61",【正常交易】,
11023101002311,海大集团,"280,500.00",43.52,"12,207,403.54",0.9442,50.13,"14,061,465.00",1.0876,"1,854,061.46",【正常交易】,
11023101002353,杰瑞股份,"1,318,700.00",37.37,"49,285,659.36",3.8122,37.12,"48,950,144.00",3.7862,"-335,515.36",【正常交易】,
11023101002415,海康威视,"4,137,233.00",37.88,"156,738,143.40",12.1236,31.08,"128,585,201.64",9.946,"-28,152,941.76",【正常交易】,
11023101002475,立讯精密,"5,388,600.00",34.09,"183,689,901.78",14.2082,40.78,"219,747,108.00",16.9972,"36,057,206.22",【正常交易】,
11023199,深交所A股估值增值,,,"-10,544,664.05",-0.8156,,"-10,544,664.05",-0.8156,,,
11023199002153,石基信息,,,"-19,967,474.61",-1.5445,,"-19,967,474.61",-1.5445,,,
11023199002311,海大集团,,,"1,854,061.46",0.1434,,"1,854,061.46",0.1434,,,
11023199002353,杰瑞股份,,,"-335,515.36",-0.026,,"-335,515.36",-0.026,,,
11023199002415,海康威视,,,"-28,152,941.76",-2.1776,,"-28,152,941.76",-2.1776,,,
11023199002475,立讯精密,,,"36,057,206.22",2.789,,"36,057,206.22",2.789,,,
